cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
405	13	143.129	0	143.129	5.28458e+07	10	3	0	0	0	0	Urine_37_Top10_POS.mzXML:2243###Urine_37_Top10_POS.mzXML:5128###Urine_37_Top10_POS.mzXML:5234###Urine_37_Top10_POS.mzXML:5338###Urine_37_Top10_POS.mzXML:5620###Urine_37_Top10_POS.mzXML:5726###Urine_37_Top10_POS.mzXML:5804###Urine_37_Top10_POS.mzXML:5837###Urine_37_Top10_POS.mzXML:5946###Urine_37_Top10_POS.mzXML:6053###Urine_64_Top10_POS.mzXML:5430###Urine_64_Top10_POS.mzXML:5530###Urine_64_Top10_POS.mzXML:5625###	 	G1,G2,	801.579615385	139.881129211	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=405	2	0
406	62	144.107	0	144.107	4.27787e+09	34	28	0	0	0	0	Urine_37_Top10_POS.mzXML:55###Urine_37_Top10_POS.mzXML:240###Urine_37_Top10_POS.mzXML:333###Urine_37_Top10_POS.mzXML:424###Urine_37_Top10_POS.mzXML:517###Urine_37_Top10_POS.mzXML:610###Urine_37_Top10_POS.mzXML:700###Urine_37_Top10_POS.mzXML:789###Urine_37_Top10_POS.mzXML:879###Urine_37_Top10_POS.mzXML:969###Urine_37_Top10_POS.mzXML:1057###Urine_37_Top10_POS.mzXML:1147###Urine_37_Top10_POS.mzXML:1238###Urine_37_Top10_POS.mzXML:3168###Urine_37_Top10_POS.mzXML:3239###Urine_37_Top10_POS.mzXML:3291###Urine_37_Top10_POS.mzXML:3310###Urine_37_Top10_POS.mzXML:3369###Urine_37_Top10_POS.mzXML:3395###Urine_37_Top10_POS.mzXML:3412###Urine_37_Top10_POS.mzXML:3442###Urine_37_Top10_POS.mzXML:3533###Urine_37_Top10_POS.mzXML:3766###Urine_37_Top10_POS.mzXML:3912###Urine_37_Top10_POS.mzXML:4007###Urine_37_Top10_POS.mzXML:5430###Urine_37_Top10_POS.mzXML:8497###Urine_37_Top10_POS.mzXML:8596###Urine_37_Top10_POS.mzXML:8691###Urine_37_Top10_POS.mzXML:8784###Urine_37_Top10_POS.mzXML:8886###Urine_37_Top10_POS.mzXML:8964###Urine_37_Top10_POS.mzXML:9040###Urine_37_Top10_POS.mzXML:9121###Urine_64_Top10_POS.mzXML:44###Urine_64_Top10_POS.mzXML:131###Urine_64_Top10_POS.mzXML:223###Urine_64_Top10_POS.mzXML:306###Urine_64_Top10_POS.mzXML:400###Urine_64_Top10_POS.mzXML:481###Urine_64_Top10_POS.mzXML:645###Urine_64_Top10_POS.mzXML:734###Urine_64_Top10_POS.mzXML:816###Urine_64_Top10_POS.mzXML:895###Urine_64_Top10_POS.mzXML:976###Urine_64_Top10_POS.mzXML:1073###Urine_64_Top10_POS.mzXML:2990###Urine_64_Top10_POS.mzXML:3090###Urine_64_Top10_POS.mzXML:3103###Urine_64_Top10_POS.mzXML:3136###Urine_64_Top10_POS.mzXML:3144###Urine_64_Top10_POS.mzXML:3216###Urine_64_Top10_POS.mzXML:3256###Urine_64_Top10_POS.mzXML:3268###Urine_64_Top10_POS.mzXML:3271###Urine_64_Top10_POS.mzXML:3331###Urine_64_Top10_POS.mzXML:3441###Urine_64_Top10_POS.mzXML:3684###Urine_64_Top10_POS.mzXML:3752###Urine_64_Top10_POS.mzXML:3916###Urine_64_Top10_POS.mzXML:8121###Urine_64_Top10_POS.mzXML:8210###	 	G1,G2,	501.473140161	438.170408296	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=406	2	1
407	12	144.081	0	144.081	1.80768e+07	3	9	0	0	0	0	Urine_37_Top10_POS.mzXML:2363###Urine_37_Top10_POS.mzXML:2484###Urine_37_Top10_POS.mzXML:2970###Urine_64_Top10_POS.mzXML:1995###Urine_64_Top10_POS.mzXML:2048###Urine_64_Top10_POS.mzXML:2117###Urine_64_Top10_POS.mzXML:2170###Urine_64_Top10_POS.mzXML:2239###Urine_64_Top10_POS.mzXML:2294###Urine_64_Top10_POS.mzXML:2357###Urine_64_Top10_POS.mzXML:2413###Urine_64_Top10_POS.mzXML:2787###	 	G1,G2,	388.361583333	35.786419467	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=407	2	1
408	3	144.07	0	144.07	5.83605e+06	2	1	0	0	0	0	Urine_37_Top10_POS.mzXML:2717###Urine_37_Top10_POS.mzXML:2843###Urine_64_Top10_POS.mzXML:2546###	 	G1,G2,	427.668	10.2460657328	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=408	2	0
409	3	144.093	0	144.093	6.32603e+06	2	1	0	0	0	0	Urine_37_Top10_POS.mzXML:4124###Urine_37_Top10_POS.mzXML:4131###Urine_64_Top10_POS.mzXML:3804###	 	G1,G2,	605.325	10.6145554311	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=409	2	1
410	88	144.1	0	144.1	1.19402e+08	44	44	0	0	0	0	Urine_37_Top10_POS.mzXML:3644###Urine_37_Top10_POS.mzXML:3886###Urine_37_Top10_POS.mzXML:4252###Urine_37_Top10_POS.mzXML:4451###Urine_37_Top10_POS.mzXML:4570###Urine_37_Top10_POS.mzXML:4609###Urine_37_Top10_POS.mzXML:4681###Urine_37_Top10_POS.mzXML:4790###Urine_37_Top10_POS.mzXML:4822###Urine_37_Top10_POS.mzXML:4897###Urine_37_Top10_POS.mzXML:4936###Urine_37_Top10_POS.mzXML:5010###Urine_37_Top10_POS.mzXML:5122###Urine_37_Top10_POS.mzXML:5225###Urine_37_Top10_POS.mzXML:5327###Urine_37_Top10_POS.mzXML:5530###Urine_37_Top10_POS.mzXML:5628###Urine_37_Top10_POS.mzXML:5957###Urine_37_Top10_POS.mzXML:6068###Urine_37_Top10_POS.mzXML:6180###Urine_37_Top10_POS.mzXML:6288###Urine_37_Top10_POS.mzXML:6390###Urine_37_Top10_POS.mzXML:6487###Urine_37_Top10_POS.mzXML:6581###Urine_37_Top10_POS.mzXML:6677###Urine_37_Top10_POS.mzXML:6775###Urine_37_Top10_POS.mzXML:6869###Urine_37_Top10_POS.mzXML:6957###Urine_37_Top10_POS.mzXML:7045###Urine_37_Top10_POS.mzXML:7131###Urine_37_Top10_POS.mzXML:7209###Urine_37_Top10_POS.mzXML:7286###Urine_37_Top10_POS.mzXML:7365###Urine_37_Top10_POS.mzXML:7450###Urine_37_Top10_POS.mzXML:7536###Urine_37_Top10_POS.mzXML:7620###Urine_37_Top10_POS.mzXML:7697###Urine_37_Top10_POS.mzXML:7773###Urine_37_Top10_POS.mzXML:7850###Urine_37_Top10_POS.mzXML:7925###Urine_37_Top10_POS.mzXML:8001###Urine_37_Top10_POS.mzXML:8089###Urine_37_Top10_POS.mzXML:8177###Urine_37_Top10_POS.mzXML:8251###Urine_64_Top10_POS.mzXML:1757###Urine_64_Top10_POS.mzXML:3565###Urine_64_Top10_POS.mzXML:4025###Urine_64_Top10_POS.mzXML:4270###Urine_64_Top10_POS.mzXML:4380###Urine_64_Top10_POS.mzXML:4488###Urine_64_Top10_POS.mzXML:4592###Urine_64_Top10_POS.mzXML:4593###Urine_64_Top10_POS.mzXML:4695###Urine_64_Top10_POS.mzXML:4696###Urine_64_Top10_POS.mzXML:4789###Urine_64_Top10_POS.mzXML:4885###Urine_64_Top10_POS.mzXML:4978###Urine_64_Top10_POS.mzXML:5071###Urine_64_Top10_POS.mzXML:5168###Urine_64_Top10_POS.mzXML:5259###Urine_64_Top10_POS.mzXML:5349###Urine_64_Top10_POS.mzXML:5649###Urine_64_Top10_POS.mzXML:5746###Urine_64_Top10_POS.mzXML:5849###Urine_64_Top10_POS.mzXML:5941###Urine_64_Top10_POS.mzXML:6027###Urine_64_Top10_POS.mzXML:6110###Urine_64_Top10_POS.mzXML:6191###Urine_64_Top10_POS.mzXML:6269###Urine_64_Top10_POS.mzXML:6349###Urine_64_Top10_POS.mzXML:6431###Urine_64_Top10_POS.mzXML:6512###Urine_64_Top10_POS.mzXML:6595###Urine_64_Top10_POS.mzXML:6671###Urine_64_Top10_POS.mzXML:6746###Urine_64_Top10_POS.mzXML:6816###Urine_64_Top10_POS.mzXML:6888###Urine_64_Top10_POS.mzXML:6962###Urine_64_Top10_POS.mzXML:7040###Urine_64_Top10_POS.mzXML:7116###Urine_64_Top10_POS.mzXML:7189###Urine_64_Top10_POS.mzXML:7264###Urine_64_Top10_POS.mzXML:7338###Urine_64_Top10_POS.mzXML:7420###Urine_64_Top10_POS.mzXML:7500###Urine_64_Top10_POS.mzXML:7781###Urine_64_Top10_POS.mzXML:7929###Urine_64_Top10_POS.mzXML:8033###	 	G1,G2,	937.081284091	220.254763129	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=410	2	1
411	2	144.083	0	144.083	1.87731e+06	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:1875###Urine_64_Top10_POS.mzXML:1932###	 	G2,	330.4935	5.78908321757	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=411	1	1
415	4	144.12	0	144.12	4.01337e+06	4	0	0	0	0	0	Urine_37_Top10_POS.mzXML:5739###Urine_37_Top10_POS.mzXML:5753###Urine_37_Top10_POS.mzXML:5849###Urine_37_Top10_POS.mzXML:5864###	 	G1,	856.455	9.0963310186	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=415	1	1
418	4	144.121	0	144.121	1.76965e+06	0	4	0	0	0	0	Urine_64_Top10_POS.mzXML:5448###Urine_64_Top10_POS.mzXML:5460###Urine_64_Top10_POS.mzXML:5555###Urine_64_Top10_POS.mzXML:5557###	 	G2,	857.42675	9.2564673022	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=418	1	1
420	2	144.93	0	144.93	525718	1	1	0	0	0	0	Urine_37_Top10_POS.mzXML:8358###Urine_64_Top10_POS.mzXML:7820###	 	G1,G2,	1300.98	3.54967604156	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=420	2	1
421	110	144.969	0	144.969	1.13949e+08	34	76	0	0	0	0	Urine_37_Top10_POS.mzXML:15###Urine_37_Top10_POS.mzXML:109###Urine_37_Top10_POS.mzXML:198###Urine_37_Top10_POS.mzXML:289###Urine_37_Top10_POS.mzXML:379###Urine_37_Top10_POS.mzXML:471###Urine_37_Top10_POS.mzXML:563###Urine_37_Top10_POS.mzXML:654###Urine_37_Top10_POS.mzXML:745###Urine_37_Top10_POS.mzXML:838###Urine_37_Top10_POS.mzXML:924###Urine_37_Top10_POS.mzXML:1012###Urine_37_Top10_POS.mzXML:1100###Urine_37_Top10_POS.mzXML:1186###Urine_37_Top10_POS.mzXML:1289###Urine_37_Top10_POS.mzXML:4399###Urine_37_Top10_POS.mzXML:4772###Urine_37_Top10_POS.mzXML:4885###Urine_37_Top10_POS.mzXML:4994###Urine_37_Top10_POS.mzXML:5104###Urine_37_Top10_POS.mzXML:5216###Urine_37_Top10_POS.mzXML:5347###Urine_37_Top10_POS.mzXML:5459###Urine_37_Top10_POS.mzXML:6464###Urine_37_Top10_POS.mzXML:8455###Urine_37_Top10_POS.mzXML:8553###Urine_37_Top10_POS.mzXML:8609###Urine_37_Top10_POS.mzXML:8651###Urine_37_Top10_POS.mzXML:8703###Urine_37_Top10_POS.mzXML:8748###Urine_37_Top10_POS.mzXML:8838###Urine_37_Top10_POS.mzXML:8915###Urine_37_Top10_POS.mzXML:8990###Urine_37_Top10_POS.mzXML:9067###Urine_64_Top10_POS.mzXML:10###Urine_64_Top10_POS.mzXML:32###Urine_64_Top10_POS.mzXML:94###Urine_64_Top10_POS.mzXML:120###Urine_64_Top10_POS.mzXML:175###Urine_64_Top10_POS.mzXML:204###Urine_64_Top10_POS.mzXML:258###Urine_64_Top10_POS.mzXML:290###Urine_64_Top10_POS.mzXML:341###Urine_64_Top10_POS.mzXML:373###Urine_64_Top10_POS.mzXML:423###Urine_64_Top10_POS.mzXML:455###Urine_64_Top10_POS.mzXML:504###Urine_64_Top10_POS.mzXML:536###Urine_64_Top10_POS.mzXML:582###Urine_64_Top10_POS.mzXML:617###Urine_64_Top10_POS.mzXML:663###Urine_64_Top10_POS.mzXML:697###Urine_64_Top10_POS.mzXML:743###Urine_64_Top10_POS.mzXML:776###Urine_64_Top10_POS.mzXML:824###Urine_64_Top10_POS.mzXML:857###Urine_64_Top10_POS.mzXML:903###Urine_64_Top10_POS.mzXML:934###Urine_64_Top10_POS.mzXML:982###Urine_64_Top10_POS.mzXML:1011###Urine_64_Top10_POS.mzXML:1062###Urine_64_Top10_POS.mzXML:1091###Urine_64_Top10_POS.mzXML:1148###Urine_64_Top10_POS.mzXML:1184###Urine_64_Top10_POS.mzXML:1246###Urine_64_Top10_POS.mzXML:1358###Urine_64_Top10_POS.mzXML:1472###Urine_64_Top10_POS.mzXML:4207###Urine_64_Top10_POS.mzXML:4209###Urine_64_Top10_POS.mzXML:4326###Urine_64_Top10_POS.mzXML:4431###Urine_64_Top10_POS.mzXML:4537###Urine_64_Top10_POS.mzXML:4638###Urine_64_Top10_POS.mzXML:4722###Urine_64_Top10_POS.mzXML:4736###Urine_64_Top10_POS.mzXML:4814###Urine_64_Top10_POS.mzXML:4827###Urine_64_Top10_POS.mzXML:4908###Urine_64_Top10_POS.mzXML:4920###Urine_64_Top10_POS.mzXML:5010###Urine_64_Top10_POS.mzXML:5014###Urine_64_Top10_POS.mzXML:5105###Urine_64_Top10_POS.mzXML:5109###Urine_64_Top10_POS.mzXML:5197###Urine_64_Top10_POS.mzXML:5202###Urine_64_Top10_POS.mzXML:5285###Urine_64_Top10_POS.mzXML:5292###Urine_64_Top10_POS.mzXML:5387###Urine_64_Top10_POS.mzXML:5488###Urine_64_Top10_POS.mzXML:5589###Urine_64_Top10_POS.mzXML:6007###Urine_64_Top10_POS.mzXML:6091###Urine_64_Top10_POS.mzXML:6175###Urine_64_Top10_POS.mzXML:6516###Urine_64_Top10_POS.mzXML:6604###Urine_64_Top10_POS.mzXML:6689###Urine_64_Top10_POS.mzXML:6986###Urine_64_Top10_POS.mzXML:7898###Urine_64_Top10_POS.mzXML:7908###Urine_64_Top10_POS.mzXML:7992###Urine_64_Top10_POS.mzXML:8001###Urine_64_Top10_POS.mzXML:8080###Urine_64_Top10_POS.mzXML:8089###Urine_64_Top10_POS.mzXML:8168###Urine_64_Top10_POS.mzXML:8176###Urine_64_Top10_POS.mzXML:8260###Urine_64_Top10_POS.mzXML:8333###Urine_64_Top10_POS.mzXML:8402###Urine_64_Top10_POS.mzXML:8470###Urine_64_Top10_POS.mzXML:8539###	 	G1,G2,	625.534057545	497.557773999	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=421	2	1
422	5	145.09	0	145.09	7.39939e+06	3	2	0	0	0	0	Urine_37_Top10_POS.mzXML:2386###Urine_37_Top10_POS.mzXML:2506###Urine_37_Top10_POS.mzXML:2650###Urine_64_Top10_POS.mzXML:2417###Urine_64_Top10_POS.mzXML:2526###	 	G1,G2,	401.3864	16.2331169311	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=422	2	0
423	10	145.078	0	145.078	4.1324e+07	2	8	0	0	0	0	Urine_37_Top10_POS.mzXML:6050###Urine_37_Top10_POS.mzXML:6156###Urine_64_Top10_POS.mzXML:5657###Urine_64_Top10_POS.mzXML:5687###Urine_64_Top10_POS.mzXML:5719###Urine_64_Top10_POS.mzXML:5790###Urine_64_Top10_POS.mzXML:5815###Urine_64_Top10_POS.mzXML:5822###Urine_64_Top10_POS.mzXML:5908###Urine_64_Top10_POS.mzXML:5918###	 	G1,G2,	902.8067	14.388902939	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=423	2	0
424	4	145.05	0	145.05	7.96653e+06	2	2	0	0	0	0	Urine_37_Top10_POS.mzXML:3974###Urine_37_Top10_POS.mzXML:4096###Urine_64_Top10_POS.mzXML:3767###Urine_64_Top10_POS.mzXML:3885###	 	G1,G2,	597.5145	9.66310421138	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=424	2	1
426	3	145.071	0	145.071	2.94227e+06	2	1	0	0	0	0	Urine_37_Top10_POS.mzXML:3849###Urine_37_Top10_POS.mzXML:3858###Urine_64_Top10_POS.mzXML:3642###	 	G1,G2,	572.901	1.80671331428	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=426	2	1
428	4	145.103	0	145.103	1.12378e+08	1	3	0	0	0	0	Urine_37_Top10_POS.mzXML:3373###Urine_64_Top10_POS.mzXML:3134###Urine_64_Top10_POS.mzXML:3199###Urine_64_Top10_POS.mzXML:3250###	 	G1,G2,	509.30625	6.45175983098	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=428	2	0
429	2	145.595	0	145.595	807485	2	0	0	0	0	0	Urine_37_Top10_POS.mzXML:4760###Urine_37_Top10_POS.mzXML:5878###	 	G1,	784.1795	117.700045049	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=429	1	0
431	30	146.089	0	146.089	1.3711e+07	20	10	0	0	0	0	Urine_37_Top10_POS.mzXML:272###Urine_37_Top10_POS.mzXML:401###Urine_37_Top10_POS.mzXML:557###Urine_37_Top10_POS.mzXML:919###Urine_37_Top10_POS.mzXML:1076###Urine_37_Top10_POS.mzXML:1170###Urine_37_Top10_POS.mzXML:5188###Urine_37_Top10_POS.mzXML:5226###Urine_37_Top10_POS.mzXML:5297###Urine_37_Top10_POS.mzXML:5333###Urine_37_Top10_POS.mzXML:5740###Urine_37_Top10_POS.mzXML:5860###Urine_37_Top10_POS.mzXML:5969###Urine_37_Top10_POS.mzXML:7537###Urine_37_Top10_POS.mzXML:7625###Urine_37_Top10_POS.mzXML:7849###Urine_37_Top10_POS.mzXML:7923###Urine_37_Top10_POS.mzXML:8527###Urine_37_Top10_POS.mzXML:8637###Urine_37_Top10_POS.mzXML:8742###Urine_64_Top10_POS.mzXML:3914###Urine_64_Top10_POS.mzXML:4884###Urine_64_Top10_POS.mzXML:4935###Urine_64_Top10_POS.mzXML:4977###Urine_64_Top10_POS.mzXML:5030###Urine_64_Top10_POS.mzXML:5072###Urine_64_Top10_POS.mzXML:5450###Urine_64_Top10_POS.mzXML:5580###Urine_64_Top10_POS.mzXML:5679###Urine_64_Top10_POS.mzXML:7411###	 	G1,G2,	783.856176667	392.906733304	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=431	2	1
432	21	146.092	0	146.092	5.11317e+08	12	9	0	0	0	0	Urine_37_Top10_POS.mzXML:2024###Urine_37_Top10_POS.mzXML:2137###Urine_37_Top10_POS.mzXML:2258###Urine_37_Top10_POS.mzXML:2379###Urine_37_Top10_POS.mzXML:2500###Urine_37_Top10_POS.mzXML:2625###Urine_37_Top10_POS.mzXML:2704###Urine_37_Top10_POS.mzXML:2741###Urine_37_Top10_POS.mzXML:2862###Urine_37_Top10_POS.mzXML:2887###Urine_37_Top10_POS.mzXML:2983###Urine_37_Top10_POS.mzXML:8337###Urine_64_Top10_POS.mzXML:1884###Urine_64_Top10_POS.mzXML:2003###Urine_64_Top10_POS.mzXML:2124###Urine_64_Top10_POS.mzXML:2245###Urine_64_Top10_POS.mzXML:2366###Urine_64_Top10_POS.mzXML:2487###Urine_64_Top10_POS.mzXML:2608###Urine_64_Top10_POS.mzXML:2729###Urine_64_Top10_POS.mzXML:2735###	 	G1,G2,	440.398142857	201.280412115	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=432	2	1
433	5	146.089	0	146.089	2.69285e+07	3	2	0	0	0	0	Urine_37_Top10_POS.mzXML:3089###Urine_37_Top10_POS.mzXML:3109###Urine_37_Top10_POS.mzXML:3397###Urine_64_Top10_POS.mzXML:2849###Urine_64_Top10_POS.mzXML:2946###	 	G1,G2,	479.62	19.3986281731	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=433	2	1
434	8	146.095	0	146.095	9.26525e+07	5	3	0	0	0	0	Urine_37_Top10_POS.mzXML:3764###Urine_37_Top10_POS.mzXML:3771###Urine_37_Top10_POS.mzXML:3772###Urine_37_Top10_POS.mzXML:3885###Urine_37_Top10_POS.mzXML:3898###Urine_64_Top10_POS.mzXML:3604###Urine_64_Top10_POS.mzXML:3685###Urine_64_Top10_POS.mzXML:3687###	 	G1,G2,	570.685625	7.7417432503	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=434	2	1
435	8	146.085	0	146.085	6.96633e+07	6	2	0	0	0	0	Urine_37_Top10_POS.mzXML:4297###Urine_37_Top10_POS.mzXML:4408###Urine_37_Top10_POS.mzXML:4413###Urine_37_Top10_POS.mzXML:5009###Urine_37_Top10_POS.mzXML:5085###Urine_37_Top10_POS.mzXML:5120###Urine_64_Top10_POS.mzXML:4115###Urine_64_Top10_POS.mzXML:4173###	 	G1,G2,	682.14875	53.9591501833	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=435	2	1
437	2	146.08	0	146.08	1.32063e+06	1	1	0	0	0	0	Urine_37_Top10_POS.mzXML:6080###Urine_64_Top10_POS.mzXML:5779###	 	G1,G2,	899.4735	2.77963675684	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=437	2	1
438	2	146.1	0	146.1	2.09748e+06	2	0	0	0	0	0	Urine_37_Top10_POS.mzXML:7044###Urine_37_Top10_POS.mzXML:7047###	 	G1,	1052.205	0.289913780287	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=438	1	1
439	2	146.081	0	146.081	2.06956e+06	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:1643###Urine_64_Top10_POS.mzXML:1763###	 	G2,	302.1975	12.124759977	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=439	1	1
440	2	146.086	0	146.086	3.07489e+06	0	2	0	0	0	0	Urine_64_Top10_POS.mzXML:3998###Urine_64_Top10_POS.mzXML:4024###	 	G2,	622.509	2.65872149726	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=440	1	1
442	4	146.082	0	146.082	1.67996e+07	2	2	0	0	0	0	Urine_37_Top10_POS.mzXML:4128###Urine_37_Top10_POS.mzXML:4524###Urine_64_Top10_POS.mzXML:4224###Urine_64_Top10_POS.mzXML:4289###	 	G1,G2,	648.35525	25.1912752406	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=442	2	1
444	38	147.038	0	147.038	2.42697e+07	22	16	0	0	0	0	Urine_37_Top10_POS.mzXML:63###Urine_37_Top10_POS.mzXML:161###Urine_37_Top10_POS.mzXML:578###Urine_37_Top10_POS.mzXML:680###Urine_37_Top10_POS.mzXML:769###Urine_37_Top10_POS.mzXML:867###Urine_37_Top10_POS.mzXML:1013###Urine_37_Top10_POS.mzXML:4682###Urine_37_Top10_POS.mzXML:4791###Urine_37_Top10_POS.mzXML:4839###Urine_37_Top10_POS.mzXML:4927###Urine_37_Top10_POS.mzXML:6236###Urine_37_Top10_POS.mzXML:6415###Urine_37_Top10_POS.mzXML:6878###Urine_37_Top10_POS.mzXML:6968###Urine_37_Top10_POS.mzXML:7053###Urine_37_Top10_POS.mzXML:7137###Urine_37_Top10_POS.mzXML:7213###Urine_37_Top10_POS.mzXML:7289###Urine_37_Top10_POS.mzXML:7367###Urine_37_Top10_POS.mzXML:7451###Urine_37_Top10_POS.mzXML:8555###Urine_64_Top10_POS.mzXML:99###Urine_64_Top10_POS.mzXML:183###Urine_64_Top10_POS.mzXML:664###Urine_64_Top10_POS.mzXML:825###Urine_64_Top10_POS.mzXML:1064###Urine_64_Top10_POS.mzXML:1150###Urine_64_Top10_POS.mzXML:1247###Urine_64_Top10_POS.mzXML:4429###Urine_64_Top10_POS.mzXML:4550###Urine_64_Top10_POS.mzXML:4717###Urine_64_Top10_POS.mzXML:5998###Urine_64_Top10_POS.mzXML:7938###Urine_64_Top10_POS.mzXML:8031###Urine_64_Top10_POS.mzXML:8119###Urine_64_Top10_POS.mzXML:8232###Urine_64_Top10_POS.mzXML:8520###	 	G1,G2,	689.868485263	483.987306805	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=444	2	1
446	6	147.078	0	147.078	8.79407e+07	2	4	0	0	0	0	Urine_37_Top10_POS.mzXML:3800###Urine_37_Top10_POS.mzXML:3809###Urine_64_Top10_POS.mzXML:3512###Urine_64_Top10_POS.mzXML:3629###Urine_64_Top10_POS.mzXML:3647###Urine_64_Top10_POS.mzXML:3750###	 	G1,G2,	569.048	10.2718788934	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=446	2	0
448	5	147.072	0	147.072	4.39141e+06	2	3	0	0	0	0	Urine_37_Top10_POS.mzXML:3428###Urine_37_Top10_POS.mzXML:3495###Urine_64_Top10_POS.mzXML:3019###Urine_64_Top10_POS.mzXML:3262###Urine_64_Top10_POS.mzXML:3292###	 	G1,G2,	513.8506	16.2396063776	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=448	2	1
